file_stem,file_name,relative_path,level_1_dir,level_2_dir,level_3_dir,quality_label,quality_reason,visible_chars,chinese_chars,english_chars,digits,abnormal_chars,punctuation_noise,garbled_segments,chinese_ratio,abnormal_ratio,noise_ratio,json_path
GB_T 19960.1-2005 风力发电机组 第1部分 通用技术条件,GB_T 19960.1-2005 风力发电机组 第1部分 通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 19960.1-2005 风力发电机组 第1部分 通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,GB_T 19960.1-2005 风力发电机组 第1部分 通用技术条件.pdf,high_quality,readable_chinese_text,5384,3505,485,716,0,0,0,0.651,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 19960.1-2005 风力发电机组 第1部分 通用技术条件.json
GB_T 19963-2011 风电场接入电力系统技术规定,GB_T 19963-2011 风电场接入电力系统技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 19963-2011 风电场接入电力系统技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,GB_T 19963-2011 风电场接入电力系统技术规定.pdf,mixed_quality,partially_readable,6692,4936,440,748,0,0,3,0.7376,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 19963-2011 风电场接入电力系统技术规定.json
GB_T 28591-2012 风力等级,GB_T 28591-2012 风力等级.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 28591-2012 风力等级.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,GB_T 28591-2012 风力等级.pdf,high_quality,readable_chinese_text,2064,954,139,641,0,0,0,0.4622,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 28591-2012 风力等级.json
GB_T 6404.2-2005 齿轮装置的验收规范 第2部分验收试验中齿轮装置机械振动的测定,GB_T 6404.2-2005 齿轮装置的验收规范 第2部分验收试验中齿轮装置机械振动的测定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 6404.2-2005 齿轮装置的验收规范 第2部分验收试验中齿轮装置机械振动的测定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,GB_T 6404.2-2005 齿轮装置的验收规范 第2部分验收试验中齿轮装置机械振动的测定.pdf,high_quality,readable_chinese_text,9465,6124,1413,827,5,0,0,0.647,0.0005,0.0005,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\GB_T 6404.2-2005 齿轮装置的验收规范 第2部分验收试验中齿轮装置机械振动的测定.json
NB_T 31004-2011 风力发电机组振动状态监测导则,NB_T 31004-2011 风力发电机组振动状态监测导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31004-2011 风力发电机组振动状态监测导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,NB_T 31004-2011 风力发电机组振动状态监测导则.pdf,high_quality,readable_chinese_text,4617,3276,409,307,0,0,1,0.7096,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31004-2011 风力发电机组振动状态监测导则.json
NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范,NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范.PDF,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范.PDF,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范.PDF,mixed_quality,partially_readable,6936,4633,701,717,6,0,5,0.668,0.0009,0.0009,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范.json
NB_T 31087-2016 《风电场项目环境影响评价技术规范》行业标准第1号修订单,NB_T 31087-2016 《风电场项目环境影响评价技术规范》行业标准第1号修订单.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31087-2016 《风电场项目环境影响评价技术规范》行业标准第1号修订单.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,NB_T 31087-2016 《风电场项目环境影响评价技术规范》行业标准第1号修订单.pdf,high_quality,readable_chinese_text,172,108,5,35,0,0,0,0.6279,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31087-2016 《风电场项目环境影响评价技术规范》行业标准第1号修订单.json
NB_T 31146-2018 《风电机组检修提升机技术规范》行业标准第1号修改单,NB_T 31146-2018 《风电机组检修提升机技术规范》行业标准第1号修改单.PDF,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31146-2018 《风电机组检修提升机技术规范》行业标准第1号修改单.PDF,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,NB_T 31146-2018 《风电机组检修提升机技术规范》行业标准第1号修改单.PDF,high_quality,readable_chinese_text,1422,882,83,238,0,0,0,0.6203,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\NB_T 31146-2018 《风电机组检修提升机技术规范》行业标准第1号修改单.json
QHN-1-0000.08.049-2015中国华能集团公司电力技术监督管理办法,QHN-1-0000.08.049-2015中国华能集团公司电力技术监督管理办法.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.049-2015中国华能集团公司电力技术监督管理办法.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.049-2015中国华能集团公司电力技术监督管理办法.pdf,high_quality,readable_chinese_text,15850,12667,185,1016,0,0,0,0.7992,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.049-2015中国华能集团公司电力技术监督管理办法.json
中国华能集团公司风电场安全性评价标准（试行）,中国华能集团公司风电场安全性评价标准（试行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\中国华能集团公司风电场安全性评价标准（试行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,中国华能集团公司风电场安全性评价标准（试行）.pdf,high_quality,readable_chinese_text,42960,35416,49,2922,51,0,0,0.8244,0.0012,0.0012,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\中国华能集团公司风电场安全性评价标准（试行）.json
Q／ HN—1—0000.08.012 — 2014  扉页,Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.012-2014 风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.012-2014 风力发电场运行导则,high_quality,readable_chinese_text,106,38,12,34,0,0,0,0.3585,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.012-2014 风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014 扉页.json
Q／ HN—1—0000.08.012 — 2014  正文,Q／ HN—1—0000.08.012 — 2014  正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.012-2014 风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014  正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.012-2014 风力发电场运行导则,high_quality,readable_chinese_text,42282,33478,1215,2506,0,0,0,0.7918,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.012-2014 风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014 正文.json
Q／ HN—1—0000.08.012 — 2014  版权,Q／ HN—1—0000.08.012 — 2014  版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.012-2014 风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014  版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.012-2014 风力发电场运行导则,high_quality,readable_chinese_text,287,157,26,70,0,0,0,0.547,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.012-2014 风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014 版权.json
扉页,扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则\扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则,high_quality,readable_chinese_text,111,43,12,34,0,0,0,0.3874,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则\扉页.json
正文,正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则\正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则,high_quality,readable_chinese_text,40073,29815,1097,3858,238,0,0,0.744,0.0059,0.0059,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则\正文.json
版权,版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则\版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则,high_quality,readable_chinese_text,292,162,26,70,0,0,0,0.5548,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.013-2014 风力发电场检修与维护管理导则\版权.json
BQ,BQ.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）\BQ.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）,high_quality,readable_chinese_text,302,170,26,70,0,0,0,0.5629,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）\BQ.json
FY,FY.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）\FY.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）,high_quality,readable_chinese_text,121,51,12,34,0,0,0,0.4215,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）\FY.json
ZW,ZW.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）\ZW.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）,high_quality,readable_chinese_text,27891,22107,977,1606,0,0,0,0.7926,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.014-2014 风力发电场检修与维护技术导则（风力发电机组分册）\ZW.json
BQ,BQ.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）\BQ.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）,high_quality,readable_chinese_text,298,166,26,70,0,0,0,0.557,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）\BQ.json
FY,FY.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）\FY.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）,high_quality,readable_chinese_text,117,47,12,34,0,0,0,0.4017,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）\FY.json
zw,zw.pdf,中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）\zw.pdf,中国华能集团有限公司2025年度风电技术监督用标准,8-风力机监督标准,QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）,high_quality,readable_chinese_text,88211,67417,3974,6223,0,0,0,0.7643,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\8-风力机监督标准\QHN-1-0000.08.015-2014 风力发电场检修与维护技术导则（电控分册）\zw.json
